id;estado;solicitud;tipo_pension_beneficiario;canal;fecha_creacion;fecha_confirmacion;monto
1;11;81181011498;Tipo_02;WEB;02-05-2021 23:53;07-05-2021 22:06;150
2;11;81181011537;Tipo_03;WEB;02-05-2021 23:56;08-05-2021 9:12;79,21
3;11;811810115410;Tipo_01;WEB;02-05-2021 23:56;10-05-2021 12:34;90,34
4;11;81181011536;Tipo_02;WEB;02-05-2021 23:57;08-05-2021 23:32;132,21
5;3;811810115518;Tipo_03;WEB;02-05-2021 23:57;;0
6;11;811810115511;Tipo_03;WEB;02-05-2021 23:58;09-05-2021 21:56;124,01
7;11;81181011549;Tipo_01;WEB;02-05-2021 23:58;10-05-2021 18:10;90,16
8;11;811810115888;Tipo_02;WEB;03-05-2021 0:00;08-05-2021 0:38;149,53
9;11;811810115717;Tipo_01;WEB;03-05-2021 0:00;08-05-2021 7:57;96,28
10;3;811810115614;Tipo_01;WEB;03-05-2021 0:01;;0
11;11;811810115719;Tipo_01;WEB;03-05-2021 0:01;08-05-2021 22:34;150
12;11;811810115613;Tipo_01;WEB;03-05-2021 0:02;08-05-2021 15:56;150
13;11;811810115984;Tipo_03;WEB;03-05-2021 0:02;08-05-2021 19:16;150
15;11;811810115718;Tipo_01;WEB;03-05-2021 0:03;08-05-2021 18:04;150
16;11;811810115781;Tipo_01;WEB;03-05-2021 0:04;09-05-2021 10:02;138,65
17;11;811881180086;Tipo_03;WEB;03-05-2021 0:04;08-05-2021 11:49;92,7
18;3;811881180189;Tipo_01;WEB;03-05-2021 0:04;;79,53
19;11;81181011548;Tipo_01;WEB;03-05-2021 0:04;10-05-2021 21:22;59,92
20;3;811881180830;Tipo_02;WEB;03-05-2021 0:04;;150
21;11;811881180187;Tipo_03;WEB;03-05-2021 0:05;10-05-2021 10:22;74,35
22;11;811881180831;Tipo_01;WEB;03-05-2021 0:06;08-05-2021 10:53;150
23;11;811881180733;Tipo_03;WEB;03-05-2021 0:09;07-05-2021 23:46;76,14
24;11;811881180737;Tipo_03;WEB;03-05-2021 0:10;08-05-2021 8:21;150
25;3;811881180841;Tipo_01;WEB;03-05-2021 0:10;;0
26;11;811881180843;Tipo_03;WEB;03-05-2021 0:10;08-05-2021 16:44;150
27;11;811881180848;Tipo_01;WEB;03-05-2021 0:10;07-05-2021 23:30;150
28;11;811881180735;Tipo_01;WEB;03-05-2021 0:10;08-05-2021 17:55;50,24
29;11;811881181050;Tipo_03;WEB;03-05-2021 0:11;08-05-2021 23:03;64,24
30;11;811881180840;Tipo_01;WEB;03-05-2021 0:12;08-05-2021 8:44;150
31;11;811881180945;Tipo_01;WEB;03-05-2021 0:12;08-05-2021 11:44;74,9
32;11;811881180947;Tipo_02;WEB;03-05-2021 0:13;08-05-2021 0:28;147,37
33;11;811881181157;Tipo_01;WEB;03-05-2021 0:13;08-05-2021 7:13;45,72
34;11;811881181053;Tipo_01;WEB;03-05-2021 0:13;08-05-2021 6:48;103,11
35;11;811881181051;Tipo_02;WEB;03-05-2021 0:14;08-05-2021 1:09;150
36;11;811881181155;Tipo_03;WEB;03-05-2021 0:14;08-05-2021 3:14;79,24
37;11;811881180944;Tipo_02;WEB;03-05-2021 0:14;08-05-2021 0:45;150
38;11;811881181863;Tipo_03;WEB;03-05-2021 0:14;07-05-2021 23:30;150
39;11;811881181156;Tipo_03;WEB;03-05-2021 0:14;08-05-2021 8:22;138,44
40;11;811881180736;Tipo_01;WEB;03-05-2021 0:14;08-05-2021 2:39;102,72
41;11;811881181860;Tipo_01;WEB;03-05-2021 0:15;08-05-2021 0:41;90,9
42;11;811881181368;Tipo_03;WEB;03-05-2021 0:15;09-05-2021 19:28;150
43;11;811881181370;Tipo_01;WEB;03-05-2021 0:15;08-05-2021 9:41;49,3
44;11;811881181369;Tipo_03;WEB;03-05-2021 0:15;08-05-2021 0:35;99,56
45;11;811881181378;Tipo_03;WEB;03-05-2021 0:15;08-05-2021 4:47;77,75
46;11;811881181049;Tipo_01;WEB;03-05-2021 0:16;08-05-2021 1:05;99,11
47;11;811881181476;Tipo_02;WEB;03-05-2021 0:16;08-05-2021 10:35;146,34
